metric                                       base       H3       H2    H3+H2
chestcircumference                         1052.3   1052.7   1052.7   1052.9
waist_nat_z                                1185.0   1100.0   1185.0   1100.0
waistbreadth                                368.0    328.0    368.0    328.0
waistdepth                                  342.0    300.0    264.0    248.0
waistcircumference                         1127.4    991.4   1005.0    911.0
buttock_z                                   985.0    940.0    975.0    940.0
buttockdepth                                342.0    344.0    260.0    262.0
buttockcircumference                       1127.1   1135.0   1003.5   1010.1
neck_depth                                  154.0    154.0    156.0    156.0
neckcircumference                           429.0    429.1    429.6    429.2
knee_min_circ                               377.0    377.0    374.0    377.0
calfcircumference                           389.8    390.0    389.8    393.0
calf_z                                      365.0    390.0    365.0    365.0
leg_cx_thigh                                106.2    106.2    106.2    106.2
leg_cx_knee                                 116.2    116.2    116.3    116.2
leg_cx_ankle                                 81.9     81.8     81.8     81.8
leg_gap_knee                                116.3    116.3    116.5    116.4
thoracic_apex_z                            1305.0   1300.0   1295.0   1290.0
buttock_apex_z                              980.0    935.0    975.0    930.0
lumbar_concavity                             26.5     29.4     25.3     19.7
lumbar_z                                   1185.0   1100.0   1190.0   1085.0
buttock_behind_thoracic                      50.0     50.0     10.0     10.0
abdomen_front_minus_waist_front              40.0     22.0     14.0     12.0
belly_front_fixed                            40.0     14.0     14.0     -6.0
occiput_z                                  1580.0   1580.0   1590.0   1590.0
nape_z                                     1515.0   1515.0   1515.0   1520.0
nape_recess                                  18.0     18.0     20.0     20.0
waistdepth/waistbreadth                     0.929    0.915    0.717    0.756
buttockdepth/hipbreadth                     0.872    0.878    0.663    0.668
waistbreadth/hipbreadth                     0.939    0.837    0.939    0.837
waistcircumference/buttockcircumference     1.000    0.873    1.002    0.902

IDENTICAL in all 4 runs: crotchheight, chest_z, chestdepth, chestbreadth, waist_nat_breadth, hip_z, hipbreadth, neck_z, neck_breadth, thighcircumference, anklecircumference, headbreadth, headlength, upper_back_z, upper_back_vs_occiput, neckbase_depth_max, neckbase_depth_excess, chestdepth/chestbreadth
