
métrica                                  ours    fbase    fchar    btopo |  jitSD  ΔT+25y   ΔR+3°
D1_chest_breadth                       352.00   272.00   264.00   284.00 |   0.98    0.00    0.00
D1_chest_z                            1308.00  1278.00  1233.00  1303.00 |   2.45    0.00    5.00
D2_chest_depth                         314.00   220.00   236.00   224.00 |   0.00    0.00    0.00
D3_waist_depth_min                     224.00   154.00   176.00   168.00 |   0.00    0.00    0.00
D3_buttock_depth_max                   262.00   204.00   232.00   208.00 |   0.98    2.00    0.00
D4_hip_breadth_max                     392.00   336.00   336.00   482.00 |   0.98    0.00    0.00
D5_chest_over_hip                        0.90     0.81     0.79     0.59 |   0.00    0.00    0.00
D6_chestdepth_over_waistdepth            1.40     1.43     1.34     1.33 |   0.00    0.00    0.00
D6_buttockdepth_over_waistdepth          1.17     1.32     1.32     1.24 |   0.00    0.01    0.00
D7_bideltoid                           456.00      nan      nan      nan |   1.60    0.00    0.00
D7_chest_over_bideltoid                  0.77      nan      nan      nan |   0.00    0.00    0.00
P4_thoracic_apex_z                    1313.00  1348.00  1313.00  1343.00 |   4.00   -5.00    0.00
P4_gluteal_apex_z                      943.00   923.00   853.00   893.00 |   3.16    0.00    5.00
P5_lumbar_z                           1103.00  1098.00  1048.00  1093.00 |   2.45    5.00  -10.00
P5_lumbar_concavity_vs_chord            19.36    54.53    52.02    67.81 |   0.27    0.38   -0.06
P1_pelvic_chord_angle                    8.36    16.24    12.54    16.97 |   0.16    0.04   -2.33
P2_thoracic_chord_angle                  3.79    13.41    13.53    16.97 |   0.15    0.25    2.78
P3_lumbar_bend_angle                    12.15    29.65    26.07    33.94 |   0.16    0.29    0.45
P6_glute_minus_thoracic_apex_y          -9.59     8.60    20.42    15.24 |   0.14   -0.66   19.61
P7_back_turning_total_deg               44.11   102.45    96.10   120.74 |   2.82    1.60    1.57
C1_axis_thorax                          -9.50    12.17    29.44    11.92 |   0.16    0.01    2.47
C2_axis_pelvis                           3.16    -6.13   -11.58   -10.68 |   0.31    0.01    0.45
C3_axis_lumbar                          -1.36    -3.40     3.44     6.72 |   0.03   -0.00    4.14
C4_axis_rel_thorax_minus_pelvis        -12.66    18.29    41.02    22.60 |   0.47    0.00    2.02
F1_mid_back_at_thoracic_apex_y        -150.99  -146.90  -117.00  -120.06 |   0.76   25.59  -22.00
F2_cy_at_chest_y                        -0.36   -38.47     7.77   -17.62 |   0.72   25.01  -22.86
